mwana	child; offspring
vazezuru	plural of muzezuru (meaning: A member of the)
vachairi	plural of muchairi (meaning: #)
midzimu	plural of mudzimu (meaning: spirit elder of the family; soul of a dead person)
vafundi	plural of mufundi (meaning: student, disciple, learner)
migodhi	plural of mugodhi (meaning: mine)
mihacha	plural of muhacha (meaning: mobola plum)
vahedheni	plural of muhedheni (meaning: heathen)
mikaka	plural of mukaka (meaning: milk)
vakanwa	plural of mukanwa (meaning: inside of the mouth)
vakomonisiti	plural of mukomonisiti (meaning: communist)
mikonde	plural of mukonde (meaning: naboom, candelabra tree ())
mikuyu	plural of mukuyu (meaning: fig tree)
mimhungu	plural of mumhungu (meaning: round-leaved bloodwood ())
mindimu	plural of mundimu (meaning: lemon tree)
minwe	plural of munwe (meaning: finger)
mioko	plural of muoko (meaning: #)
mionde	plural of muonde (meaning: fig tree)
mipunga	plural of mupunga (meaning: rice)
miromo	plural of muromo (meaning: mouth, beak; plowshare)
misasa	plural of musasa (meaning: msasa tree)
misoro	plural of musoro (meaning: head; top)
mitengeni	plural of mutengeni (meaning: sourplum ())
vatengi	plural of mutengi (meaning: buyer)
miti	plural of muti (meaning: tree; medicine; herb)
mitsvanzva	plural of mutsvanzva (meaning: sourplum ())
mitsvanzvabere	plural of mutsvanzvabere (meaning: tallowwood (Ximenia americana))
mitumba	plural of mutumba (meaning: a type of very large drum)
vatyairi	plural of mutyairi (meaning: driver)
vavaravandi	plural of muvaravandi (meaning: Person who acts secretly)
vaverengi	plural of muverengi (meaning: reader)
mivhakacho	plural of muvhakacho (meaning: holiday)
miviri	plural of muviri (meaning: body)
miwayawaya	plural of muwayawaya (meaning: round-leaved bloodwood ())
miaka	plural of mwaka (meaning: season)
miedzi	plural of mwedzi (meaning: moon; month)
mioto	plural of mwoto (meaning: fire)
manachisi	plural of nachisi (meaning: tangerine, mandarin, naartjie)
mananazi	plural of nanazi (meaning: pineapple)
maonde	plural of onde (meaning: fig)
vapasi	plural of pasi (meaning: on the ground; below, down)
mapungwe	plural of pungwe (meaning: #)
mapurazi	plural of purazi (meaning: farm)
maremoni	plural of remoni (meaning: lemon)
marize	plural of rize (meaning: scorpion)
marokwe	plural of rokwe (meaning: dress)
maoko	plural of ruoko (meaning: arm; hand)
ndimi	plural of rurimi (meaning: tongue; language)
maruva	plural of ruva (meaning: flower)
masumburera	plural of sumburera (meaning: umbrella)
mataundi	plural of taundi (meaning: town)
matsotsi	plural of tsotsi (meaning: criminal, thug, gangster, hooligan, hoodlum)
masiku	plural of usiku (meaning: night; nighttime)
mavhiri	plural of vhiri (meaning: wheel)
mawindo	plural of windo (meaning: window)
mazai	plural of zai (meaning: egg)
mazamu	plural of zamu (meaning: breast)
mazana	plural of zana (meaning: hundred)
mazanda	plural of zanda (meaning: egg)
mazino	plural of zino (meaning: tooth)
maziso	plural of ziso (meaning: eye)
mazuva	plural of zuva (meaning: sun; day)
minda	plural of munda (meaning: field; farm; agricultural plot)
zviro	plural of chiro (meaning: thing; item; object)
nzwizi	plural of rwizi (meaning: river)
mavhu	plural of ivhu (meaning: soil; earth; ground)
machi	plural of uchi (meaning: honey)
madoro	plural of doro (meaning: beer; alcohol)
mapadza	plural of badza (meaning: hoe; digging tool)
misha	plural of musha (meaning: home; village; homestead)
majira	plural of jira (meaning: cloth; fabric)
kupfirwa	to pour / to offer libation (to be v-ed)
kupfirisa	to pour / to offer libation (to cause to v; to make v)
kupfirana	to pour / to offer libation (to v each other)
kupfirira	to pour / to offer libation (to v for / at / on behalf of)
kupfirura	to pour / to offer libation (to un-v; to reverse the action of v)
kubiwa	to steal (to be v-ed)
kubisa	to steal (to cause to v; to make v)
kubana	to steal (to v each other)
kubira	to steal (to v for / at / on behalf of)
kubura	to steal (to un-v; to reverse the action of v)
kubatwa	to hold, grasp; touch (to be v-ed)
kubatisa	to hold, grasp; touch (to cause to v; to make v)
kubatana	to hold, grasp; touch (to v each other)
kubatira	to hold, grasp; touch (to v for / at / on behalf of)
kubatura	to hold, grasp; touch (to un-v; to reverse the action of v)
kubhadharwa	to pay (to be v-ed)
kubhadharisa	to pay (to cause to v; to make v)
kubhadharana	to pay (to v each other)
kubhadharira	to pay (to v for / at / on behalf of)
kubhadharura	to pay (to un-v; to reverse the action of v)
kubikwa	to cook; brew (to be v-ed)
kubikisa	to cook; brew (to cause to v; to make v)
kubikana	to cook; brew (to v each other)
kubikira	to cook; brew (to v for / at / on behalf of)
kubikura	to cook; brew (to un-v; to reverse the action of v)
kuchairwa	to # (to be v-ed)
kuchairisa	to # (to cause to v; to make v)
kuchairana	to # (to v each other)
kuchairira	to # (to v for / at / on behalf of)
kuchairura	to # (to un-v; to reverse the action of v)
kuchipwa	to be cheap, be inexpensive (to be v-ed)
kuchipisa	to be cheap, be inexpensive (to cause to v; to make v)
kuchipana	to be cheap, be inexpensive (to v each other)
kuchipira	to be cheap, be inexpensive (to v for / at / on behalf of)
kuchipura	to be cheap, be inexpensive (to un-v; to reverse the action of v)
kudanwa	to call, summon (to be v-ed)
kudanisa	to call, summon (to cause to v; to make v)
kudanana	to call, summon (to v each other)
kudanira	to call, summon (to v for / at / on behalf of)
kudanura	to call, summon (to un-v; to reverse the action of v)
kudhakisa	to intoxicate, to make drunk (to cause to v; to make v)
kudhakana	to intoxicate, to make drunk (to v each other)
kudhakira	to intoxicate, to make drunk (to v for / at / on behalf of)
kudhakura	to intoxicate, to make drunk (to un-v; to reverse the action of v)
kudhakwwa	to be drunk (to be v-ed)
kudhakwisa	to be drunk (to cause to v; to make v)
kudhakwana	to be drunk (to v each other)
kudhakwira	to be drunk (to v for / at / on behalf of)
kudhakwura	to be drunk (to un-v; to reverse the action of v)
kudhonzwa	to pull (to be v-ed)
kudhonzesa	to pull (to cause to v; to make v)
kudhonzana	to pull (to v each other)
kudhonzera	to pull (to v for / at / on behalf of)
kudhonzora	to pull (to un-v; to reverse the action of v)
kudhurwa	to be expensive (to be v-ed)
kudhurisa	to be expensive (to cause to v; to make v)
kudhurana	to be expensive (to v each other)
kudhurira	to be expensive (to v for / at / on behalf of)
kudhurura	to be expensive (to un-v; to reverse the action of v)
kudondodzwa	to walk using a stick (to be v-ed)
kudondodzesa	to walk using a stick (to cause to v; to make v)
kudondodzana	to walk using a stick (to v each other)
kudondodzera	to walk using a stick (to v for / at / on behalf of)
kudondodzora	to walk using a stick (to un-v; to reverse the action of v)
kudywa	to eat (to be v-ed)
kudyisa	to eat (to cause to v; to make v)
kudyana	to eat (to v each other)
kudyira	to eat (to v for / at / on behalf of)
kudyura	to eat (to un-v; to reverse the action of v)
kufiwa	to die (to be v-ed)
kufisa	to die (to cause to v; to make v)
kufana	to die (to v each other)
kufira	to die (to v for / at / on behalf of)
kufura	to die (to un-v; to reverse the action of v)
kufambwa	to walk; travel; move (to be v-ed)
kufambisa	to walk; travel; move (to cause to v; to make v)
kufambana	to walk; travel; move (to v each other)
kufambira	to walk; travel; move (to v for / at / on behalf of)
kufambura	to walk; travel; move (to un-v; to reverse the action of v)
kufundwa	to study; learn (to be v-ed)
kufundisa	to study; learn (to cause to v; to make v)
kufundana	to study; learn (to v each other)
kufundira	to study; learn (to v for / at / on behalf of)
kufundura	to study; learn (to un-v; to reverse the action of v)
kugarwa	to sit, be seated; stay, live (somewhere); stay away from (to be v-ed)
kugarisa	to sit, be seated; stay, live (somewhere); stay away from (to cause to v; to make v)
kugarana	to sit, be seated; stay, live (somewhere); stay away from (to v each other)
kugarira	to sit, be seated; stay, live (somewhere); stay away from (to v for / at / on behalf of)
kugarura	to sit, be seated; stay, live (somewhere); stay away from (to un-v; to reverse the action of v)
kukamwa	to milk (to be v-ed)
kukamisa	to milk (to cause to v; to make v)
kukamana	to milk (to v each other)
kukamira	to milk (to v for / at / on behalf of)
kukamura	to milk (to un-v; to reverse the action of v)
kukangwa	to fry (to be v-ed)
kukangisa	to fry (to cause to v; to make v)
kukangana	to fry (to v each other)
kukangira	to fry (to v for / at / on behalf of)
kukangura	to fry (to un-v; to reverse the action of v)
kukwenywa	to scratch (to be v-ed)
kukwenyesa	to scratch (to cause to v; to make v)
kukwenyana	to scratch (to v each other)
kukwenyera	to scratch (to v for / at / on behalf of)
kukwenyura	to scratch (to un-v; to reverse the action of v)
kukweretwa	to borrow (to be v-ed)
kukweretesa	to borrow (to cause to v; to make v)
kukweretana	to borrow (to v each other)
kukweretera	to borrow (to v for / at / on behalf of)
kukweretura	to borrow (to un-v; to reverse the action of v)
kumwwa	to # (to be v-ed)
kumwisa	to # (to cause to v; to make v)
kumwana	to # (to v each other)
kumwira	to # (to v for / at / on behalf of)
kumwura	to # (to un-v; to reverse the action of v)
kunwwa	to #; drink (to be v-ed)
kunwisa	to #; drink (to cause to v; to make v)
kunwana	to #; drink (to v each other)
kunwira	to #; drink (to v for / at / on behalf of)
kunwura	to #; drink (to un-v; to reverse the action of v)
kunyararwa	to be quiet, be silent; be peaceful (to be v-ed)
kunyararisa	to be quiet, be silent; be peaceful (to cause to v; to make v)
kunyararana	to be quiet, be silent; be peaceful (to v each other)
kunyararira	to be quiet, be silent; be peaceful (to v for / at / on behalf of)
kunyararura	to be quiet, be silent; be peaceful (to un-v; to reverse the action of v)
kunyengwa	to woo, court; gain favor with someone; have sex (to be v-ed)
kunyengesa	to woo, court; gain favor with someone; have sex (to cause to v; to make v)
kunyengana	to woo, court; gain favor with someone; have sex (to v each other)
kunyengera	to woo, court; gain favor with someone; have sex (to v for / at / on behalf of)
kunyengura	to woo, court; gain favor with someone; have sex (to un-v; to reverse the action of v)
kuonwa	to see; think; acquire; look; find (to be v-ed)
kuonana	to see; think; acquire; look; find (to v each other)
kuonera	to see; think; acquire; look; find (to v for / at / on behalf of)
kuonora	to see; think; acquire; look; find (to un-v; to reverse the action of v)
kuonekwa	to # to be seen, to be visible (to be v-ed)
kuonekesa	to # to be seen, to be visible (to cause to v; to make v)
kuonekana	to # to be seen, to be visible (to v each other)
kuonekera	to # to be seen, to be visible (to v for / at / on behalf of)
kuonekura	to # to be seen, to be visible (to un-v; to reverse the action of v)
kuoneswa	to # to show (to be v-ed)
kuonesesa	to # to show (to cause to v; to make v)
kuonesana	to # to show (to v each other)
kuonesera	to # to show (to v for / at / on behalf of)
kuonesura	to # to show (to un-v; to reverse the action of v)
kuotwa	to take warmth from a fire. (to be v-ed)
kuotesa	to take warmth from a fire. (to cause to v; to make v)
kuotana	to take warmth from a fire. (to v each other)
kuotera	to take warmth from a fire. (to v for / at / on behalf of)
kuotora	to take warmth from a fire. (to un-v; to reverse the action of v)
kupiwa	to give (to be v-ed)
kupisa	to give (to cause to v; to make v)
kupana	to give (to v each other)
kupira	to give (to v for / at / on behalf of)
kupura	to give (to un-v; to reverse the action of v)
kurarwa	to sleep (to be v-ed)
kurarisa	to sleep (to cause to v; to make v)
kurarana	to sleep (to v each other)
kurarira	to sleep (to v for / at / on behalf of)
kurarura	to sleep (to un-v; to reverse the action of v)
kurimwa	to cultivate (to be v-ed)
kurimisa	to cultivate (to cause to v; to make v)
kurimana	to cultivate (to v each other)
kurimira	to cultivate (to v for / at / on behalf of)
kurimura	to cultivate (to un-v; to reverse the action of v)
kurotwa	to dream (to be v-ed)
kurotesa	to dream (to cause to v; to make v)
kurotana	to dream (to v each other)
kurotera	to dream (to v for / at / on behalf of)
kurotora	to dream (to un-v; to reverse the action of v)
kurwwa	to fight (to be v-ed)
kurwisa	to fight (to cause to v; to make v)
kurwana	to fight (to v each other)
kurwira	to fight (to v for / at / on behalf of)
kurwura	to fight (to un-v; to reverse the action of v)
kusekwa	to laugh (at); laugh (to be v-ed)
kusekesa	to laugh (at); laugh (to cause to v; to make v)
kusekana	to laugh (at); laugh (to v each other)
kusekera	to laugh (at); laugh (to v for / at / on behalf of)
kusekura	to laugh (at); laugh (to un-v; to reverse the action of v)
kusimbwa	to be strong; be powerful (to be v-ed)
kusimbisa	to be strong; be powerful (to cause to v; to make v)
kusimbana	to be strong; be powerful (to v each other)
kusimbira	to be strong; be powerful (to v for / at / on behalf of)
kusimbura	to be strong; be powerful (to un-v; to reverse the action of v)
kutyairwa	to drive (to be v-ed)
kutyairisa	to drive (to cause to v; to make v)
kutyairana	to drive (to v each other)
kutyairira	to drive (to v for / at / on behalf of)
kutyairura	to drive (to un-v; to reverse the action of v)
kuumbwa	to mould, shape (to be v-ed)
kuumbisa	to mould, shape (to cause to v; to make v)
kuumbana	to mould, shape (to v each other)
kuumbira	to mould, shape (to v for / at / on behalf of)
kuumbura	to mould, shape (to un-v; to reverse the action of v)
kuuraywa	to kill (to be v-ed)
kuurayisa	to kill (to cause to v; to make v)
kuurayana	to kill (to v each other)
kuurayira	to kill (to v for / at / on behalf of)
kuurayura	to kill (to un-v; to reverse the action of v)
kuvaravandwa	to act secretly; # to keep oneself hidden (to be v-ed)
kuvaravandisa	to act secretly; # to keep oneself hidden (to cause to v; to make v)
kuvaravandana	to act secretly; # to keep oneself hidden (to v each other)
kuvaravandira	to act secretly; # to keep oneself hidden (to v for / at / on behalf of)
kuvaravandura	to act secretly; # to keep oneself hidden (to un-v; to reverse the action of v)
kuverengwa	to count; # to compute; read (to be v-ed)
kuverengesa	to count; # to compute; read (to cause to v; to make v)
kuverengana	to count; # to compute; read (to v each other)
kuverengera	to count; # to compute; read (to v for / at / on behalf of)
kuverengura	to count; # to compute; read (to un-v; to reverse the action of v)
kuvharwa	to close, shut (to be v-ed)
kuvharisa	to close, shut (to cause to v; to make v)
kuvharana	to close, shut (to v each other)
kuvharira	to close, shut (to v for / at / on behalf of)
kuvharura	to close, shut (to un-v; to reverse the action of v)
kuvirwa	to boil (to be v-ed)
kuvirisa	to boil (to cause to v; to make v)
kuvirana	to boil (to v each other)
kuvirira	to boil (to v for / at / on behalf of)
kuvirura	to boil (to un-v; to reverse the action of v)
kuzivwa	to know; be acquainted with (to be v-ed)
kuzivisa	to know; be acquainted with (to cause to v; to make v)
kuzivana	to know; be acquainted with (to v each other)
kuzivira	to know; be acquainted with (to v for / at / on behalf of)
kuzivura	to know; be acquainted with (to un-v; to reverse the action of v)
kuzvarisa	to bear (to cause to v; to make v)
kuzvarana	to bear (to v each other)
kuzvarira	to bear (to v for / at / on behalf of)
kuzvarura	to bear (to un-v; to reverse the action of v)
kuzvimbwa	to swell (to be v-ed)
kuzvimbisa	to swell (to cause to v; to make v)
kuzvimbana	to swell (to v each other)
kuzvimbira	to swell (to v for / at / on behalf of)
kuzvimbura	to swell (to un-v; to reverse the action of v)
kudiwa	to love; want; like (to be v-ed)
kudisa	to love; want; like (to cause to v; to make v)
kudira	to love; want; like (to v for / at / on behalf of)
kudura	to love; want; like (to un-v; to reverse the action of v)
kunzwwa	to hear; feel; understand (to be v-ed)
kunzwisa	to hear; feel; understand (to cause to v; to make v)
kunzwana	to hear; feel; understand (to v each other)
kunzwira	to hear; feel; understand (to v for / at / on behalf of)
kunzwura	to hear; feel; understand (to un-v; to reverse the action of v)
kutaurwa	to speak; talk; converse (to be v-ed)
kutaurisa	to speak; talk; converse (to cause to v; to make v)
kutaurana	to speak; talk; converse (to v each other)
kutaurira	to speak; talk; converse (to v for / at / on behalf of)
kutaurura	to speak; talk; converse (to un-v; to reverse the action of v)
kunyorwa	to write (to be v-ed)
kunyoresa	to write (to cause to v; to make v)
kunyorana	to write (to v each other)
kunyorera	to write (to v for / at / on behalf of)
kunyorora	to write (to un-v; to reverse the action of v)
kumhanywa	to run (to be v-ed)
kumhanyisa	to run (to cause to v; to make v)
kumhanyana	to run (to v each other)
kumhanyira	to run (to v for / at / on behalf of)
kumhanyura	to run (to un-v; to reverse the action of v)
kuuywa	to come (to be v-ed)
kuuyisa	to come (to cause to v; to make v)
kuuyana	to come (to v each other)
kuuyira	to come (to v for / at / on behalf of)
kuuyura	to come (to un-v; to reverse the action of v)
kuendwa	to go; depart (to be v-ed)
kuendesa	to go; depart (to cause to v; to make v)
kuendana	to go; depart (to v each other)
kuendera	to go; depart (to v for / at / on behalf of)
kuendura	to go; depart (to un-v; to reverse the action of v)
kudzokwa	to return; come back (to be v-ed)
kudzokesa	to return; come back (to cause to v; to make v)
kudzokana	to return; come back (to v each other)
kudzokera	to return; come back (to v for / at / on behalf of)
kudzokora	to return; come back (to un-v; to reverse the action of v)
kumukwa	to wake up; rise (to be v-ed)
kumukisa	to wake up; rise (to cause to v; to make v)
kumukana	to wake up; rise (to v each other)
kumukira	to wake up; rise (to v for / at / on behalf of)
kumukura	to wake up; rise (to un-v; to reverse the action of v)
kushandwa	to work; labor (to be v-ed)
kushandisa	to work; labor (to cause to v; to make v)
kushandana	to work; labor (to v each other)
kushandira	to work; labor (to v for / at / on behalf of)
kushandura	to work; labor (to un-v; to reverse the action of v)
